Type,Name,Total Population,Male,Female,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 34,35 to 44,45 to 54,55 to 59,60 to 64,65 to 74,75 to 84,Over 85,Median age,Households,Households with kids,Households with senior citizens,Avg household size,Avg family size,Total Housing Units,Occupied Housing Units,Vacant Housing,Rental or Vacation Housing,Owner-occupied Housing,Renter-occupied Housing
A,York County,56297,27650,28647,3570,4705,5169,4220,2482,6430,10827,8488,3066,2204,3157,1588,391,36.5,20000,8983,3605,2.78,3.15,20701,20000,701,79,15157,4843
F,Alexandria city,128283,61974,66309,7962,5953,4722,4739,9919,32571,23186,17641,6117,3868,5695,4204,1706,34.4,61889,12673,8553,2.04,2.87,64251,61889,2362,523,24745,37144
F,Bedford city,6299,2995,3304,354,408,378,363,316,777,975,753,259,294,612,566,244,40.9,2519,769,837,2.26,2.87,2702,2519,183,17,1519,1000
F,Bristol city,17367,7825,9542,929,982,1033,1008,1067,2167,2384,2330,976,924,1775,1333,459,41.3,7678,2110,2665,2.18,2.78,8469,7678,791,37,4997,2681
F,Buena Vista city,6349,2944,3405,392,391,404,493,420,825,827,872,354,337,542,352,140,37.9,2547,847,747,2.38,2.87,2716,2547,169,7,1800,747
F,Charlottesville city,45049,21021,24028,1981,1920,1882,6053,10207,6566,5039,4210,1433,1210,2307,1643,598,25.6,16851,3879,3151,2.27,2.85,17591,16851,740,71,6882,9969
F,Chesapeake city,199184,96728,102456,14272,16138,17121,14931,11186,26807,37602,27506,8955,6822,10227,6086,1531,34.7,69900,31693,12620,2.79,3.17,72672,69900,2772,190,52335,17565
F,Clifton Forge city,4289,1892,2397,227,251,262,263,188,474,615,525,235,234,453,387,175,42.9,1841,541,666,2.22,2.8,2069,1841,228,6,1153,688
F,Colonial Heights city,16897,7901,8996,895,1053,1189,1073,1014,2029,2498,2252,901,849,1624,1176,344,39.9,7027,2250,2161,2.37,2.88,7340,7027,313,21,4871,2156
F,Covington city,6303,3013,3290,395,389,355,352,375,818,837,818,389,301,623,462,189,40.5,2835,791,966,2.22,2.83,3195,2835,360,15,1977,858
F,Danville city,48411,22024,26387,2910,3114,3300,3141,2681,5563,6772,6687,2504,2237,4702,3584,1216,40.5,20607,6301,6792,2.27,2.89,23108,20607,2501,83,11975,8632
F,Emporia city,5665,2576,3089,351,403,436,387,305,646,803,643,278,245,503,455,210,38.8,2226,758,753,2.43,3.05,2412,2226,186,11,1162,1064
F,Fairfax city,21498,10484,11014,1289,1214,1185,1165,1531,3586,3655,3049,1181,890,1455,950,348,37,8035,2449,1751,2.61,3.07,8204,8035,169,30,5550,2485
F,Falls Church city,10377,5049,5328,571,673,722,608,388,1383,1849,1971,581,369,530,527,205,39.7,4471,1410,941,2.31,3.01,4725,4471,254,90,2708,1763
F,Franklin city,8346,3689,4657,424,613,665,613,424,869,1207,1147,455,393,718,553,265,39.9,3384,1168,991,2.39,2.93,3767,3384,383,25,1818,1566
F,Fredericksburg city,19279,8677,10602,1127,943,867,2104,2982,2856,2385,2138,791,616,1222,926,322,30.3,8102,1956,1918,2.09,2.81,8888,8102,786,43,2882,5220
